"Ctrl_0"	"Ctrl_1"	"Ctrl_2"	"Ctrl_3"	"TollLPS_0"	"TollLPS_1"	"TollLPS_2"	"TollLPS_3"	"TollMRP8_0"	"TollMRP8_1"	"TollMRP8_2"	"TollMRP8_3"	"ActLPS_0"	"ActLPS_1"	"ActLPS_2"	"ActLPS_3"
"A1BG"	72090.3896261007	87577.3193081841	76098.2328327373	88612.4566197395	148864.080198109	237880.240054801	273928.193934262	296246.723737568	212812.516419217	299482.42995888	240521.954325959	290861.835191026	339264.803030528	383470.501587726	358152.120257728	323079.125559889
"A1BG-AS1"	45648.0960128829	16637.1785104275	32509.5386710018	50922.4335663021	213855.50936684	132865.790091455	104909.028904513	102499.438310042	119432.051526383	248649.903805926	278708.073543385	231835.382245481	314025.093754753	394648.32067024	370431.449473836	369674.984691665
"A1CF"	72770.5253753811	98973.6937917769	3453.54350283742	15237.3490156606	110012.008901685	184772.025421262	191258.009849116	103240.325022489	132134.851999581	211461.617611349	175033.849012107	293610.866740346	318788.474076428	362864.413578063	324465.102120303	313868.429022841
"A2M"	73568.4952465817	113.658653572202	39120.3335253522	46249.4654115289	152430.766215548	167748.121451586	149632.730893791	241202.136920765	204037.999780849	184717.648290098	159466.222720221	185236.353101209	373690.485721454	370608.126814477	324907.290935516	378300.994844176
"A2M-AS1"	38814.3981574103	40248.5141763464	17896.3584825397	95165.8753678203	228277.177689597	174097.833270207	266021.451540291	157532.700430602	182253.602985293	195046.536298469	214301.313366741	267685.036268085	300278.448848985	334715.677495115	396704.254555516	397397.132636979
"A2ML1"	45372.8073276579	32675.2408640459	96541.5323385969	70748.1877179816	198401.100048795	278370.701614767	227923.889551312	192574.725393206	278466.899879277	181506.766052917	172119.280369952	248730.935109779	391098.868031986	325280.036474578	313159.282738343	363272.440386936
"A2MP1"	64454.2636582628	38982.8484971076	69854.3639387935	54405.7864462957	139041.568944231	177906.777663156	210458.733560517	105558.169912547	154186.860937625	157501.163613051	220907.702529803	132813.621778041	376300.243102014	327677.435590886	347192.048397847	364645.219082013
"A3GALT2"	22646.7178668827	48455.7755058631	79300.7169850171	598.762952722609	120213.441597298	273974.968167022	121179.110696539	144693.236565217	265737.834246829	209999.356651679	265267.596207559	138948.33154045	395864.418637939	336242.921673693	391577.634122223	344373.912014998
"A4GALT"	18771.2445855141	68183.3623209968	37010.4123605415	36162.5570105389	172980.962740257	161454.941751435	210761.819267645	283166.282624006	231861.184630543	103766.716364771	201022.240193561	268584.424676374	330649.089068174	357887.54185196	341143.13244354	302423.735894263
"A4GNT"	86879.4898502529	90415.4665768147	61742.4565600231	13403.1634544954	144233.816536143	147852.882463485	221518.235001713	245564.590906724	146408.769953996	218442.96134077	240845.473250374	275580.507423729	343310.741544701	324640.342965722	354512.036009692	308085.059863515
